,Unnamed: 0,artist_name,track_title,track_id,popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,lyrics,len,topic,release_date
0,1,drake,find your love,4BycRneKmOs6MhYG9THsuX,63,,0.627,0.614,6.0,-6.006,0.0,0.17,0.0211,0.0,0.0286,0.758,96.038,pop,option refuse forget take heart feel take better love better heart better love better heart better love better heart gonna tear apart number doubt single summer remember better love better heart better love better heart better love better heart gonna tear apart mission hear listen better attention miss better love better heart better love better heart better love better heart gonna tear apart time wrong guess right take long wait leave better love better heart better love better heart better love better heart gonna tear apart gonna tear apart,89,obscene,2010
1,16,a day to remember,the downfall of us all,1KHKeIouP04dDtl0EetgED,69,,0.588,0.881,0.0,-4.62,1.0,0.0666,0.000252,0.0,0.326,0.709,129.947,pop,easy make draw line think change miss go whoa whoa sell soul open road live life spot believe stop life turn upside meet past train track leavin come right wrong downfall gonna need follow best write songs tell sell like ones change write feel mean sincerity whoa whoa sell soul open road live life lone spot believe stop life turn upside meet past train track leavin come right wrong downfall forget mind sign dot line forget mind sign dot line spot believe stop life turn upside meet past train track leavin come right wrong spot believe stop life turn upside meet past train track leavin come right wrong downfall downfall downfall downfall downfall downfall,114,world/life,2009
2,66,the who,baba o'riley,3qiyyUfYe7CRYLucrPmulD,72,,0.489,0.724,5.0,-8.367,1.0,0.0352,0.313,0.185,0.287,0.15,117.292,rock,field fight meals live need fight prove right need forgive yeah yeah yeah yeah yeah raise teenage wasteland hand travel south cross land look past shoulder exodus ones near older teenage wasteland teenage wasteland teenage wasteland yeah teenage wasteland waste,40,violence,1971
3,67,drake,trust issues,4Wjhj0WjkyECccfHVIgaTq,76,,0.421,0.539,11.0,-5.456,0.0,0.274,0.779,0.0,0.111,0.523,89.177,pop,yeah yeah drink care money city feel smoke fuck excuse young get older somebody tell fuck yeah say fuck strong white cup drink purple pink depend shit money shit cause fuck yeah yeah know yeah yeah yeah yeah know sip teach cause trust bitch trust bitch catch slip cause trust bitch catch slip different cause trust bitch trust bitch catch slip ohwoah trust issue ohwoah trust issue ohwoah trust issue ohwoah woah woah woah yeah yeah yeah drink waste drink fade yeah drizzy check come live motherfuckin north kick game game real good bitch sit courtside nigga know act like somebody know tell fuck pose stay friends bunch feel tell tell tell certain people like shit excite guess like look eye cause create hate girls tell leave cell phone table niggas hat wish shit drive crazy get lately probably scar time women want fuck like look things think ohwoah trust issue ohwoah trust issue ohwoah trust issue ohwoah woah woah woah yeah yeah yeah drink waste drink fade yeah yeah yeah drink,172,obscene,2019
4,70,foster the people,warrant,0QOwak4SMvE1p2apLbDu8c,42,,0.626,0.823,0.0,-5.46,1.0,0.0547,0.0143,0.00303,0.128,0.297,120.012,rock,judge unknown yeah know heart strong away run save head yeah warrant dead say away yeah warrant head away want alive dead away yeah warrant head away want alive dead think fight come phone line face stop argue yeah warrant gonna say gonna away yeah warrant head away want alive dead away yeah warrant head away want alive dead fear like fake friend warm take mouth word sound come fear like best friend manipulate take mouth word sound know better know better away yeah warrant head away want alive dead away yeah warrant head away want alive dead,98,violence,2011
5,71,demi lovato,don't forget,4He7bzKBaiu7CRz4wGkZzx,49,,0.641,0.451,4.0,-7.694,1.0,0.0899,0.507,1.71e-06,0.629,0.612,179.967,pop,forget alive forget forget forget regret regret stand forget forget feel inside leave forget go wrong strong like song forget guess stand regret hold hand forget forget fall forget forget go wrong strong like song forget go wrong strong like song forget picture burn past lesson learn forget forget go wrong like song sing forget forget,56,world/life,2008
6,72,the kinks,who'll be the next in line,37fD0f4vZQDAve0RDVuOYh,20,,0.349,0.736,9.0,-8.151,1.0,0.0448,0.28,0.132,0.0834,0.91,160.553,rock,line line heartache mistake line line line watch fade affections finally fade away sigh line go best give line line heartaches mistake sigh line go best give line line heartaches mistake line line,33,night/time,1965
7,91,katy perry,the one that got away,6hkOqJ5mE093AQf2lbZnsG,70,,0.689,0.795,1.0,-4.021,0.0,0.0356,0.000812,1.07e-06,0.156,0.876,133.968,pop,summer high school mustang radiohead birthday match tattoo steal parent liquor climb roof talk future like clue plan lose life girl promise world life stay away away cash pact miss record whoa say tattoo remove downtown sing blue time face music longer muse life girl promise world life stay away away away money time machine replace million ring tell mean whoa cause life girl promise world life stay away away life stay away away,74,world/life,2010
8,100,the cranberries,zombie,7EZC6E7UjZe63f1jRmkWxt,82,,0.309,0.649,7.0,-8.994,1.0,0.035,0.0158,0.00591,0.367,0.312,166.915,pop,head hang lowly child slowly take violence cause silence mistake family head head fightin tank bomb bomb gun head head cryin head head zombie zombie zombieieie head head zombie zombie zombieieieie mother breakin heart takin violence cause silence mistake theme nineteensixteen head head fightin tank bomb bomb gun head head dyin head head zombie zombie zombieieie head head zombie zombie zombieieieie ohohohohohohoh ehehoh rara,64,violence,1994
9,102,love,andmoreagain,7GWTupZ43FbwCXB0sDCmBh,34,,0.542,0.177,7.0,-18.075,1.0,0.028,0.596,1.04e-06,0.139,0.529,100.051,pop,andmoreagain know andmoreagain eye feel heart beat thrumpumpumpum give turn secrets feel heart beat thrumpumpumpum wrap armor things material lose confusions cause things material know andmoreagain know andmoreagain eye feel heart beat thrumpumpumpum wrap armor things material lose confusions cause things material know,43,sadness,1967
